id,raw_hypos
54618732-a2cb-49ec-c034-08dc605e0191_49_5680,hey google
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_30194_8104,dolphins
e42558d6-5a42-437d-e7c4-08dcd9e31338_654_12269,play billy on the
4902e925-28da-41fa-da79-08dd7d685e99_29116_15022,how many refills are left on my concer
4902e925-28da-41fa-da79-08dd7d685e99_1058_13966,how do i use to your favorites
55c1784a-ece4-414a-25b4-08dc18e8f490_243_4623,
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_605_8104,lower the temperature ⁇ degrees
54618732-a2cb-49ec-c034-08dc605e0191_30237_5381,open the dead on the phone the contact audiobook under that type context
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_82_8789,i would
55c1784a-ece4-414a-25b4-08dc18e8f490_14290_4629,there was a
4902e925-28da-41fa-da79-08dd7d685e99_29335_13968,recipe with buttermilk and coconut
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_29745_8750,when did the ⁇ st spiderman
54618732-a2cb-49ec-c034-08dc605e0191_1075_5680,turn on all
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_67_8769,
7c58626d-162e-44d8-0e84-08ddcde6e74d_542_15780,set the alarm for ⁇ minutes
54618732-a2cb-49ec-c034-08dc605e0191_597_5358,how do you pay a cabbage
55c1784a-ece4-414a-25b4-08dc18e8f490_82_4562,
54618732-a2cb-49ec-c034-08dc605e0191_29742_5522,tall is the ice cream
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_29096_8745,sing the
e42558d6-5a42-437d-e7c4-08dcd9e31338_1063_10610,turn off the tv
e42558d6-5a42-437d-e7c4-08dcd9e31338_29673_10703,add ingredients for chili to the shopping list
54618732-a2cb-49ec-c034-08dc605e0191_1105_5474,i do not like people who think they can
e42558d6-5a42-437d-e7c4-08dcd9e31338_255_10703,in my friend eating today
7c58626d-162e-44d8-0e84-08ddcde6e74d_29746_15939,
7c58626d-162e-44d8-0e84-08ddcde6e74d_513_15936,call vaness
e42558d6-5a42-437d-e7c4-08dcd9e31338_649_12222,is the dentist open on port tree wheelchair accessible
7c58626d-162e-44d8-0e84-08ddcde6e74d_33700_15941,romeo
e42558d6-5a42-437d-e7c4-08dcd9e31338_32794_12269,my recent
54618732-a2cb-49ec-c034-08dc605e0191_29371_5358,add to oops ⁇ nd
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_162_8746,stop listen
54618732-a2cb-49ec-c034-08dc605e0191_644_5335,who is beijing between duke and
7c58626d-162e-44d8-0e84-08ddcde6e74d_29768_15939,audiobook
7c58626d-162e-44d8-0e84-08ddcde6e74d_31239_15939,
54618732-a2cb-49ec-c034-08dc605e0191_250_5476,dim the next cafe
7c58626d-162e-44d8-0e84-08ddcde6e74d_29679_15938,a space is purple
e42558d6-5a42-437d-e7c4-08dcd9e31338_32717_10827,
7c58626d-162e-44d8-0e84-08ddcde6e74d_29722_15940,
7c58626d-162e-44d8-0e84-08ddcde6e74d_30348_15938,i have to
54618732-a2cb-49ec-c034-08dc605e0191_52_5335,
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_646_8765,making the temperature
54618732-a2cb-49ec-c034-08dc605e0191_1058_5234,add this music to favor
e42558d6-5a42-437d-e7c4-08dcd9e31338_78_11398,siri
54618732-a2cb-49ec-c034-08dc605e0191_29363_5265,add mo
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_1055_8794,raise the chance to
54618732-a2cb-49ec-c034-08dc605e0191_78_5680,hey
e42558d6-5a42-437d-e7c4-08dcd9e31338_29348_10827,is my order said christon mark
e42558d6-5a42-437d-e7c4-08dcd9e31338_39_11430,alexa
e42558d6-5a42-437d-e7c4-08dcd9e31338_148_10610,cortana
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_595_8769,read the weather ⁇
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_148_8794,cortana
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_60_8745,hey facebook
e42558d6-5a42-437d-e7c4-08dcd9e31338_34_11398,brighten the screen
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_1071_8745,
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_210_8789,read new documents
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_29097_8745,please explain to rangers
e42558d6-5a42-437d-e7c4-08dcd9e31338_595_12222,set the target
e42558d6-5a42-437d-e7c4-08dcd9e31338_52_10827,where is my ⁇ st event tomorrow
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_78_8765,hey sir
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_30172_8745,
4902e925-28da-41fa-da79-08dd7d685e99_29691_13967,please call frank
7c58626d-162e-44d8-0e84-08ddcde6e74d_33663_15939,reward
7c58626d-162e-44d8-0e84-08ddcde6e74d_177_15939,the mall
fca65ce1-fabf-4914-172d-08db24d03de6_148_588,cortana
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_250_8371,skip to the next chapter
f8e65210-0ac9-4c7c-c658-08db73ef9d1c_214_1471,what are my reminders
7c58626d-162e-44d8-0e84-08ddcde6e74d_84_15937,an umbrella
bad3f1b6-4896-4c71-adfa-08db93721f13_1066_2179,what is the weather like today
b2f16a07-8441-43c9-fac8-08dd0a4af9ba_1065_11791,skip the
7c58626d-162e-44d8-0e84-08ddcde6e74d_644_15780,who is winning
d41daa38-6d46-433c-6825-08dd025ce1a9_31837_10576,
5b50291f-f241-483e-8bbd-08dd4210739c_29096_13701,did a group chat
b7398ee3-0bd7-44cf-4cc6-08dd0b23004e_148_12122,cortana
b2ca1426-dafa-45cf-9151-08dcd7fdf875_34_9304,brighten the screen
e42558d6-5a42-437d-e7c4-08dcd9e31338_34363_10610,
b4dbd9f9-85f2-4f92-973a-08dca59f2b1c_32295_12544,i do a lot
f8e65210-0ac9-4c7c-c658-08db73ef9d1c_1075_1490,turn on all switches
866b68e7-78f2-4abb-e21e-08dc3963a250_50_4648,raise the temperature
a14d22c1-10e8-4dcf-e962-08dc2e961576_153_3727,the decrease the volume
19afb5a2-41dc-42a1-1f5b-08db743c9986_90_1960,dislike this song
f8e65210-0ac9-4c7c-c658-08db73ef9d1c_125_1469,when is thanksgiving this year
5e17c1c9-eb2a-4fa6-4985-08dcb4d7acba_1053_10738,what is on my champion
cc29e135-2a7a-46e9-8f04-08dc7f6a721b_1062_6554,answer the call
199e75a8-422f-473f-2b40-08db46c00613_1067_752,stop listening
b7398ee3-0bd7-44cf-4cc6-08dd0b23004e_203_12494,turn off cooling
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_469_8750,
b2f16a07-8441-43c9-fac8-08dd0a4af9ba_31699_11011,
19afb5a2-41dc-42a1-1f5b-08db743c9986_513_1968,video call lennart vass
860cc717-c664-4d80-e9a2-08dc2e961576_165_5365,is my flight on time
4a9f71ab-f3a6-48a9-a1ba-08dcc7adb730_144_8787,scan
e42558d6-5a42-437d-e7c4-08dcd9e31338_30828_11398,
5b50291f-f241-483e-8bbd-08dd4210739c_29177_13159,there are chicago cubs
0f9ac13f-e103-4926-a1a8-08dc11dcc589_60_2919,hey facebook
df1bdab4-979a-451b-c2d9-08db6e0d6c39_181_1357,when is my next alarm
866b68e7-78f2-4abb-e21e-08dc3963a250_1065_4759,skip this song
fb9c683c-41a5-486c-ae6a-08dc945c48db_148_6752,
19afb5a2-41dc-42a1-1f5b-08db743c9986_50_1960,raise the temperature
63bc6f35-9437-44e5-1604-08dbb62a2382_221_2301,show me nearby restaurants
96ada12b-88af-44ce-0219-08dc41d581c9_30194_4529,
3e9ab29f-daf0-4a3c-a181-08dc11dcc589_1067_4606,stop listening
b2f16a07-8441-43c9-fac8-08dd0a4af9ba_31665_11010,no
02005a84-8847-4ef7-7b99-08dc286c108f_39_3480,alexa
b4dbd9f9-85f2-4f92-973a-08dca59f2b1c_636_12795,preheat
7c58626d-162e-44d8-0e84-08ddcde6e74d_33056_15780,
5b50291f-f241-483e-8bbd-08dd4210739c_574_13700,who is the penny
d262995e-8477-49ae-f87d-08dd54eeecc3_33745_13963,sam piper
51451a02-b769-42db-fd6d-08dcb5d1edd7_1063_9981,turn off the tv
8926bff8-ec04-42ba-57e1-08dcbb9f64e1_60_8102,hey facebook
6e34ea84-5d05-47f3-c599-08dc27c1bd26_127_3296,increase the volume
0539d504-1dee-4c09-e989-08dc2e961576_182_5060,snooze
7f1d37a6-dc22-4bb8-b2f1-08db6e8bdba4_21087_1366,and you go to rome you say
cc29e135-2a7a-46e9-8f04-08dc7f6a721b_1060_6287,what is on my calendar tomorrow
0affc590-b642-42b8-6c8b-08dd543e01a5_207_13520,show me nearby cafes
915db191-604c-4dad-9991-08dcab8095cf_632_9055,please turn off the lights in the guest room
b2f16a07-8441-43c9-fac8-08dd0a4af9ba_1066_11010,what is the weather like today
96ada12b-88af-44ce-0219-08dc41d581c9_644_4521,who is winning between duke and north carolina
40c01b80-b083-448d-973b-08dca59f2b1c_39_7388,
0f9ac13f-e103-4926-a1a8-08dc11dcc589_82_2919,when did this song come out
659f50e6-6690-435a-5cee-08db46a76191_82_675,when did this song come out
9d33c23d-5a77-45dc-c547-08dbb7ad5db3_650_2324,schedule a refill for my pantoprazole prescription
7fee5dfd-1c4d-44db-0e9c-08db39f45d00_1061_602,what restaurants are nearby
099bd3df-9122-4a77-cb41-08dd739d0cac_1063_13820,turn off the tv
5ac33366-70eb-43de-ce95-08dc58c09eb8_1071_5763,turn off heat
bad3f1b6-4896-4c71-adfa-08db93721f13_13438_2147,when you were the big black mare came from
dc5c25b4-43a7-4af3-cf4f-08dc89b72177_50_9101,raise the temperature
311638fc-a891-4ba8-7f97-08dc9f90df2f_30189_7322,running from bulls
b2458036-ec6f-4e79-b93b-08dd4d26bbc8_29101_13675,please send this email to my group
1a2c36f7-7312-4b00-da7d-08dc75b20572_627_6237,turn on the porch light
17073b31-5882-4a6f-680c-08db4cce187f_632_883,turn off the lights in the guest room
7c51bade-4203-4bba-37c3-08dce6e2632a_165_10732,is my flight on time
8bea8736-2619-45b3-ea8f-08dd777d835a_580_14899,set a reminder for molly's vet appointment
55c1784a-ece4-414a-25b4-08dc18e8f490_513_4628,please call the mountain
8bea8736-2619-45b3-ea8f-08dd777d835a_29692_14900,video call martin start
8bea8736-2619-45b3-ea8f-08dd777d835a_1057_13935,what is the temperature in the living room
4ede54a7-2133-4ef2-1161-08db2577509f_562_322,add hand dryer brush for nessa to my gift list
dd3b609c-ca04-47fb-dc90-08db7e3d374f_597_1773,how do you spell government
fcb35ef5-5a96-4f1c-012a-08dd15a179fb_597_12920,how do you spell government
63bc6f35-9437-44e5-1604-08dbb62a2382_591_2304,send a message to kashmir gregory
915db191-604c-4dad-9991-08dcab8095cf_1067_9058,stop listening
5e4b7521-8a66-4c8b-7a25-08dc2a829031_595_4082,set the air conditioning to ⁇
1628ada6-3321-4052-22b4-08dc56b55882_29371_5778,what is the weather on september ⁇ nd
5e17c1c9-eb2a-4fa6-4985-08dcb4d7acba_29116_10737,how many refills are left
08626c89-3dbd-4756-488d-08db66e486e4_69_1065,turn off all switches
1628ada6-3321-4052-22b4-08dc56b55882_29672_6707,add a hail dryer brush for vanessa to my gift list
d9892453-ebb1-4d36-7ce0-08dc8ba4f236_30180_6701,she is my uncle and he lives in water
cc29e135-2a7a-46e9-8f04-08dc7f6a721b_39_6380,alexa
79f4b8bb-7ffa-4422-115c-08dba7fa5465_23078_2116,what are you ⁇ people quarreling about
1628ada6-3321-4052-22b4-08dc56b55882_30217_7987,i like to travel on a airplane
55c1784a-ece4-414a-25b4-08dc18e8f490_1066_4652,what is the weather like today
5e4b7521-8a66-4c8b-7a25-08dc2a829031_597_4082,how do you spell government
dc5c25b4-43a7-4af3-cf4f-08dc89b72177_84_9101,do i need an umbrella
3c1f5ec6-17d8-4d69-87a5-08dc74e08a4e_69_5801,turn off all switches
0f9ac13f-e103-4926-a1a8-08dc11dcc589_18581_4191,would you like one for your birthday margaret
1a2c36f7-7312-4b00-da7d-08dc75b20572_1059_5854,open reminders
e6637ea3-8d88-40ca-8b32-08dc44f243ab_31936_4605,
e42558d6-5a42-437d-e7c4-08dcd9e31338_33460_12269,
5e4b7521-8a66-4c8b-7a25-08dc2a829031_6989_4127,i think you look troubled
f5a06bd3-3191-46dd-0bae-08dcf9635df3_1075_10771,turn on switches
870ab2b5-e5fb-4aaf-03ce-08dd2552a33c_571_12584,turn up the temperature one degree
f8e65210-0ac9-4c7c-c658-08db73ef9d1c_2215_1447,when i was a young boy father always said i was a born business manager
4ede54a7-2133-4ef2-1161-08db2577509f_185_228,set a reminder to take furosemide at bed time
d83c96a2-eeb0-416f-116d-08dc623ec532_1827_5332,they tolerated his attendance with an air of aversion as though he were an intruder
d262995e-8477-49ae-f87d-08dd54eeecc3_251_14079,what team won the world series in ⁇
a14d22c1-10e8-4dcf-e962-08dc2e961576_30212_3826,what are ⁇ things you need to have a good party
f84154b0-68f1-42ae-2e8e-08dc27684872_1133_7693,a vague fear crept over her that he might finally succeed in proving to her that it was her duty to resign
7fee5dfd-1c4d-44db-0e9c-08db39f45d00_1827_493,they tolerated his attendance with an air of aversion as though as though he were an intruder
15dec664-dc2b-4a05-4a54-08dc3c7b3134_1057_8270,what is the temperature living room
93bbf306-cb27-4be5-e7ff-08dbe60d97fb_655_3050,how the traffic to mount washington new person
5ac33366-70eb-43de-ce95-08dc58c09eb8_254_7924,set a reminder to take ibuprofen at ⁇ am
5e17c1c9-eb2a-4fa6-4985-08dcb4d7acba_162_7761,no please say start listening
56084d10-2aa7-4f02-304a-08dbf050033d_30226_3599,what is movie about
08626c89-3dbd-4756-488d-08db66e486e4_1131_1064,at last billy woodchuck's lips began to feel very weird puckered up as they were
6b942f5f-0f17-42e6-32ea-08dd80de9631_577_14239,tell me near
6b942f5f-0f17-42e6-32ea-08dd80de9631_585_14993,set an alarm in ⁇ minutes
55f3ac96-0f93-4f9a-8df8-08dd4ae40880_476_14148,set a reminder for our dinner reservation on friday
8e2d6856-1d18-46a5-b68b-08dc1130022a_30184_2835,i would like to debate kant events and other ethical issues with them i would like to get their perspectives on certain issues
1628ada6-3321-4052-22b4-08dc56b55882_1058_4903,add the music to my favorite
aff2de06-efe1-4074-3e3f-08dc895255bb_655_10709,how far to monkey watching new from
5a3c16b7-fd51-4c8a-cf50-08dc89b72177_18513_11634,with superhuman strength she carried him to a nearby inn
832f7478-b42e-460a-d74a-08ddb1c92df6_1098_15600,the best thing to do on a cold winter day is stay inside have some tea and read a book by the fireplace
031e84ad-54f2-434b-abb3-08dc5d6a38e4_109_5720,create a
ffc544fd-77aa-40a5-0974-08dc994bd147_630_10989,play music on speakers
f7a16987-f872-4be8-df26-08dc12f39a63_558_3957,map a route to john f kennedy airport
f8e65210-0ac9-4c7c-c658-08db73ef9d1c_1119_1474,breakfast for ⁇ depends on what they want in my house it is usually cereal and fruit and coffee
08626c89-3dbd-4756-488d-08db66e486e4_510_1096,is the observatory at the willis tower wheelchair accessible
36aa3164-db71-4ee3-b6b1-08dc8d7bb350_569_8434,how tall is the tallest person who ever lived
e597e7d7-3062-4982-32eb-08dd80de9631_564_14040,show me the photos from the ⁇ th of september
56084d10-2aa7-4f02-304a-08dbf050033d_574_2791,remember that my pen is nitro
bad794ff-c207-43b5-f3bc-08db49b9f20e_34_596,brighten the screen period
aff2de06-efe1-4074-3e3f-08dc895255bb_477_6916,add walmart to my gift list
79dc1110-bef7-414c-24af-08dcbcb70931_30232_8664,my favorite game is cards
f7a16987-f872-4be8-df26-08dc12f39a63_224_3954,set a reminder to take acetaminophen at one pm
17073b31-5882-4a6f-680c-08db4cce187f_7407_883,in fact i could not conceive how the wall ever could have been built even that far in the face of that terrific heat
02005a84-8847-4ef7-7b99-08dc286c108f_249_3657,set a reminder to take pantoprazole at ⁇ am i
fcb35ef5-5a96-4f1c-012a-08dd15a179fb_621_12923,find me a holiday cartoon recipe with cranberry juice and gin
4ede54a7-2133-4ef2-1161-08db2577509f_1104_228,confused in america basketball college basketball turn either the weather hall is depressing kind of stuff
9aec2b50-57c3-4c15-cb42-08dd739d0cac_602_14476,cancel my meeting with vincente lin at one ⁇ pm tuesday
88ff2689-ab03-41ba-3919-08dc358e2588_30219_9373,tv show is about everything
ecd22914-6704-4880-da3f-08db8211616b_13311_1690,he had something to beside him on the seat of the handle
ecd22914-6704-4880-da3f-08db8211616b_596_1694,how do you say help me in mandarin chinese
d08febe1-2f4b-4080-2ed1-08dc27684872_26796_4279,from time's halting words and shifting of position he had caught some glimpse of the little lads
cfdcd1d4-e2e4-49eb-b409-08db76ad1dc0_1092_1401,unfortunately i cannot think of the name of a hobby that does not make much sense to me at this time
889c317c-39f2-4dcd-d5e5-08dc00f40ee5_609_3199,what are the side effects on
108bae54-13c5-4f33-769b-08dc54a70eeb_30223_4822,i did not like to wake up early i like to stay up late
311638fc-a891-4ba8-7f97-08dc9f90df2f_1098_8108,the best thing to do on a cold winter day is stay indoors may find a good movie or tv show and drink hot chocolate under the covers
7fee5dfd-1c4d-44db-0e9c-08db39f45d00_1827_602,they tolerated his attendance with an air of aversion as though he were an intruder
d83c96a2-eeb0-416f-116d-08dc623ec532_8792_5349,there was sooner was she in the kitchen and fumbling for what she required than a faint noise arose
56084d10-2aa7-4f02-304a-08dbf050033d_25_3695,when does the net train arrive
88ff2689-ab03-41ba-3919-08dc358e2588_30177_9135,santa claus
aff2de06-efe1-4074-3e3f-08dc895255bb_613_9840,how much is a round trip flight to virginia arizona
8bea8736-2619-45b3-ea8f-08dd777d835a_634_14492,is the nask center for the performing arts ada compliant
4f03e91e-a8a7-45b7-b1eb-08dd512ec3b7_29736_13454,emails rabbit emails to renik
e6637ea3-8d88-40ca-8b32-08dc44f243ab_634_4602,is alaska cinema ada compliant
fb9c683c-41a5-486c-ae6a-08dc945c48db_30181_6549,book a tv
01570ac8-6f88-4424-3a69-08dc183f4f57_1107_8903,what is one thing you would love to be an expert at and why probably history basically because i am never really enjoyed history and i really retain a lot of the information through high school
40c01b80-b083-448d-973b-08dca59f2b1c_30195_7855,i like dogs because they are companion and they are good
f84154b0-68f1-42ae-2e8e-08dc27684872_625_7673,add ingredients for chili pizza dough shredded mozzarella and heel balm to the shopping list
8bea8736-2619-45b3-ea8f-08dd777d835a_29722_14900,at ⁇ pm saturday
cfdcd1d4-e2e4-49eb-b409-08db76ad1dc0_1115_1553,one of my favorite ice cream flavors is coffee coffee can be used with chocolate ice cream chocolate syrup chocolate pieces as well as mix with vanilla it is just a good oil ground flavor
e612e837-acb9-4c5d-8553-08dd4eff510a_30175_15595,i get my ⁇ st eggs and out of the freezer i hit it the toaster oven for my sticks i would put the fish sticks in the toaster oven to cook i push the timer to cook once it is finished take them out to cold then eat them
f7a16987-f872-4be8-df26-08dc12f39a63_7364_3953,in ⁇ the upper house seated that it was beaten offered to hold a conference
